web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,detail,nombre_chambre,nombre_salle_bain,superficie,adresse,ville,prix,image_link-src
"1708114508-11","https://www.expat-dakar.com/appartements-meubles?page=50","VIP

Appartement à la Résidence Darou Khoudoss des Mamelles

Mamelles,
Dakar

Aujourd'hui, 13:30

Vendeur vérifié

40 000 F Cfa

778682221

338681932","https://www.expat-dakar.com/annonce/appartement-a-la-residence-darou-khoudoss-des-mamelles-5964928","Appartement à la Résidence Darou Khoudoss des Mamelles","","","","Mamelles","Dakar","40 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/de8b72237f1d1e0f27a63280b7aabf77/-/horizon-files-prod/ed/picture/qwe2jprz/66190fea64ccdbec2b8a47294c5d7d9ba6ea4c3e.jpg"
"1708114510-12","https://www.expat-dakar.com/appartements-meubles?page=50","A La Une

Appartement meublé à louer à ZAC MBAO
2 chambre
Zac Mbao,
Dakar

13. sept. '23, 15:13

25 000 F Cfa

774215964","https://www.expat-dakar.com/annonce/appartement-meuble-a-louer-a-zac-mbao-5524368","Appartement meublé à louer à ZAC MBAO","2","1","","Zac Mbao","Dakar","25 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0717a8dcf7f00bf87e7b997a0b4b1bbf/-/horizon-files-prod/ed/picture/qv4456nv/0791e864eb36af26fc19eaa500aff0824be434ee.jpg"
"1708114515-13","https://www.expat-dakar.com/appartements-meubles?page=49","Appartement meublé à Sacré-coeur 3 VDN
1 chambre
VDN,
Dakar

14. déc. '23, 09:28

500 000 F Cfa

338496384","https://www.expat-dakar.com/annonce/appartement-meuble-a-sacre-coeur-3-vdn-5958134","Appartement meublé à Sacré-coeur 3 VDN","1","1","","VDN","Dakar","500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e8ac1776b23201545d5f124a922215cd/-/horizon-files-prod/ed/picture/qm5pn9g6/3f31cf5c865d59e3ab2c1e17052cac68452e030f.jpg"
"1708114517-14","https://www.expat-dakar.com/appartements-meubles?page=49","Studio meublé à zone B
1 chambre100 m²
Point-e,
Dakar

11. déc. '23, 15:05

30 000 F Cfa

783610819","https://www.expat-dakar.com/annonce/studio-meuble-a-zone-b-5604793","Studio meublé à zone B","1","1","100 m²","Point-e","Dakar","30 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d39b5121d2d262f909859497db134764/-/horizon-files-prod/ed/picture/qngg4jx0/1a80c70178ac35d17d6d9f882a28e5cf1563229b.jpg"
"1708114520-15","https://www.expat-dakar.com/appartements-meubles?page=49","Mini studio meuble ouest foire
1 chambre32 m²
Yoff,
Dakar

11. déc. '23, 15:10

15 000 F Cfa

773038182","https://www.expat-dakar.com/annonce/mini-studio-meuble-ouest-foire-5906872","Mini studio meuble ouest foire","1","1","32 m²","Yoff","Dakar","15 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0836669fe36879917534ca6478ef6484/-/horizon-files-prod/ed/picture/qwe2p6gp/7317212933cddb94f3772faeac7de6f0b8cbb66a.jpg"
"1708114523-16","https://www.expat-dakar.com/appartements-meubles?page=49","Villa meublée à Saint Louis Ngualel

Saint-Louis,
Saint-Louis

11. déc. '23, 15:15

Vendeur vérifié

60 000 F Cfa

773184894","https://www.expat-dakar.com/annonce/villa-meublee-a-saint-louis-ngualel-5523393","Villa meublée à Saint Louis Ngualel","","","","Saint-Louis","Saint-Louis","60 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/19543034bd4b1ffeab32d2fda8585e3d/-/horizon-files-prod/ed/picture/qnggnvr0/268b560ccec370c0723d27231fbe3c887f7ebbfd.jpg"
"1708114525-17","https://www.expat-dakar.com/appartements-meubles?page=49","Villa meublée à Saint Louis

Saint-Louis,
Saint-Louis

11. déc. '23, 15:15

Vendeur vérifié

60 000 F Cfa

773184894","https://www.expat-dakar.com/annonce/villa-meublee-a-saint-louis-5523405","Villa meublée à Saint Louis","","","","Saint-Louis","Saint-Louis","60 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2412d8ca3972449142c32958d23da59a/-/horizon-files-prod/ed/picture/qnggnvrm/1823495fcd61718827fc8236ce7544caa88fc8e0.jpg"
"1708114527-18","https://www.expat-dakar.com/appartements-meubles?page=49","Studio meublé à ngor almadies

Ngor,
Dakar

11. déc. '23, 18:46

35 000 F Cfa

778361024

338777589","https://www.expat-dakar.com/annonce/studio-meuble-a-ngor-almadies-5759444","Studio meublé à ngor almadies","","","","Ngor","Dakar","35 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9cae4720f4c4e13f5d21c98ca3f15ff1/-/horizon-files-prod/ed/picture/q6x64e8g/f715c1f331454f8ba2434a0c1e91eadd9f2cbee2.jpg"
"1708114532-19","https://www.expat-dakar.com/appartements-meubles?page=49","Joli appartement meublé à louer à la citée biagui
2 chambre150 m²
Ngor,
Dakar

11. déc. '23, 19:43

900 000 F Cfa

771048216

766612910

771048216","https://www.expat-dakar.com/annonce/joli-appartement-meuble-a-louer-a-la-citee-biagui-5783655","Joli appartement meublé à louer à la citée biagui","2","2","150 m²","Ngor","Dakar","900 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/bb64c8b150b063ea825dccadcadef797/-/horizon-files-prod/ed/picture/qxj6m2mq/4cd90b0f5a366c13e5a6f9b112630b5d5fb81c0b.jpg"
"1708114534-20","https://www.expat-dakar.com/appartements-meubles?page=49","Mini studio climatisée aux almadies
1 chambre60 m²
Ngor,
Dakar

12. déc. '23, 07:42

25 000 F Cfa

777607801

767248135","https://www.expat-dakar.com/annonce/mini-studio-climatisee-aux-almadies-3332700","Mini studio climatisée aux almadies","1","1","60 m²","Ngor","Dakar","25 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/1ac6c5b2544736a371edb59dd889f215/-/horizon-files-prod/ed/picture/q68d0jv/dc50d23688ac4d21fd8329fa78f44b8356d1ec33.jpg"
