web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,detail,nombre_chambre,nombre_salle_bain,superficie,adresse,ville,prix,image_link-src
"1708113093-188","https://www.expat-dakar.com/appartements-a-louer?page=32","Duplex et Appartement F4 neuf à louer à Yoff Aéroport

Yoff,
Dakar

27. janv., 12:24

950 000 F Cfa

775084510","https://www.expat-dakar.com/annonce/duplex-et-appartement-f4-neuf-a-louer-a-yoff-aeroport-5872630","Duplex et Appartement F4 neuf à louer à Yoff Aéroport","","","Au 2e étage, l'immeuble dispose aussi d'un appartement de 3 chambres, un salon, 2 toilettes, une cuisine.","Yoff","Dakar","950 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0ecd11bdcbf02cd30abafad13c1d9278/-/horizon-files-prod/ed/picture/q8v5vdd7/1bdb08af71f2993ea9e7d936b07106f55b9638dc.jpg"
"1708113095-189","https://www.expat-dakar.com/appartements-a-louer?page=32","Bel appartement a louer a Sicap Foire
3 chambre
Sicap foire,
Dakar

27. janv., 13:39

375 000 F Cfa

766343415

776108934","https://www.expat-dakar.com/annonce/bel-appartement-a-louer-a-sicap-foire-5989876","Bel appartement a louer a Sicap Foire","3","","","Sicap foire","Dakar","375 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/6f8ef8fcbd2f0a194a96c52af87dafd3/-/horizon-files-prod/ed/picture/qrzv40eq/d088d44f18e2a4f610e9909964aadd298cb664df.jpg"
"1708113097-190","https://www.expat-dakar.com/appartements-a-louer?page=32","Bel appartement à louer au plateau
4 chambre
Plateau,
Dakar

27. janv., 13:40

1 200 000 F Cfa

766343415

776108934","https://www.expat-dakar.com/annonce/bel-appartement-a-louer-au-plateau-5953986","Bel appartement à louer au plateau","4","","Niveau: 4ème etage.","Plateau","Dakar","1 200 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/84bc718db52e190e72ff296e3868b08a/-/horizon-files-prod/ed/picture/qenqwqmk/4779cdf3794a3250b4cffa7d1443d33c7d2b24ad.jpg"
"1708113100-191","https://www.expat-dakar.com/appartements-a-louer?page=32","Studio Spacieux
1 chambre
Thiès,
Thiès

27. janv., 13:56

155 000 F Cfa

784545809

+19178376079","https://www.expat-dakar.com/annonce/studio-spacieux-5974249","Studio Spacieux","1","","","Thiès","Thiès","155 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/74a27d234f6de06229df67e93ea8129d/-/horizon-files-prod/ed/picture/qngxzg2e/f3bbee7d8545c43d5290268407a876336e056a74.jpg"
"1708113102-192","https://www.expat-dakar.com/appartements-a-louer?page=32","Appartement F6 aux Almadies
5 chambre475 m²
Almadies,
Dakar

27. janv., 21:36

4 500 000 F Cfa

783001717","https://www.expat-dakar.com/annonce/appartement-f6-aux-almadies-5890912","Appartement F6 aux Almadies","5","5","C'est 4 chambres avec salle de bain, armoires et placards de rangement et 2 salon. Il ya une chambre principale pour les parents, avec une salle de Sport à côté, deux chambres pour les enfants et une chambre salle de bain pour la grande dame gouvernante.

Il ya aussi un bureau bien équipé avec salle de bain et armoire de rangement","Almadies","Dakar","4 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/429d410460f88cb87540100ebd377ff1/-/horizon-files-prod/ed/picture/qm5pp06w/d47e62c592c603c66dabf253551600bc62b1daaf.jpg"
"1708113107-193","https://www.expat-dakar.com/appartements-a-louer?page=31","Appartement F4 aux Almadies
3 chambre
Almadies,
Dakar

27. janv., 22:45

2 300 000 F Cfa

783001717","https://www.expat-dakar.com/annonce/appartement-f4-aux-almadies-5893572","Appartement F4 aux Almadies","3","3","Dans chaque chambre, il ya une salle de bain et la climatisation. Même la cuisine est climatisée et très bien équipée avec partie buanderie, machine à laver et sèche-linge.","Almadies","Dakar","2 300 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e28ae26a0886caba322fcffb574906c5/-/horizon-files-prod/ed/picture/qwe22j70/97916862b7abb926783f4ff6e40bd1cd97d7a6ee.jpg"
"1708113110-194","https://www.expat-dakar.com/appartements-a-louer?page=31","Appartement F4 à louer aux Almadies
3 chambre
Almadies,
Dakar

27. janv., 22:47

1 800 000 F Cfa

783001717","https://www.expat-dakar.com/annonce/appartement-f4-a-louer-aux-almadies-5962450","Appartement F4 à louer aux Almadies","3","3","Bonjour. Nous louons, VUE sur MER 🌊 🌊 🌊","Almadies","Dakar","1 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9a7042df084c01959189d514abf9e2d9/-/horizon-files-prod/ed/picture/qwe2wqzj/970355479fd40fe2c1e8eedd53a35355825c3c5a.jpg"
"1708113113-195","https://www.expat-dakar.com/appartements-a-louer?page=31","Standing duplex a louer a ngor
5 chambre150 m²
Ngor,
Dakar

27. janv., 23:38

800 000 F Cfa

771048216

766612910

771048216","https://www.expat-dakar.com/annonce/standing-duplex-a-louer-a-ngor-5939510","Standing duplex a louer a ngor","5","5","","Ngor","Dakar","800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/02be60af4dcdcd7e4323529495b8a6b3/-/horizon-files-prod/ed/picture/qrzv6ewx/639aeebe5922f38101b4bb7189555939e31b50e5.jpg"
"1708113115-196","https://www.expat-dakar.com/appartements-a-louer?page=31","IMMEUBLE 🏢 NEUF R+4 A LOUER NGOR ALMADIE
3 chambre
Almadies,
Dakar

20. oct. '23, 13:02

750 000 F Cfa

773256969

778445757

786096161","https://www.expat-dakar.com/annonce/immeuble-neuf-r4-a-louer-ngor-almadie-5910405","IMMEUBLE 🏢 NEUF R+4 A LOUER NGOR ALMADIE","3","","","Almadies","Dakar","750 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/45d71a25a99c45a3fc43735a4a920d51/-/horizon-files-prod/ed/picture/qngx9gne/ccbe114af49b20d7f34fdeec67a4095739239bf0.jpg"
"1708113118-197","https://www.expat-dakar.com/appartements-a-louer?page=31","App f3 et f4 a louer point e

Point-e,
Dakar

28. janv., 13:54

Vendeur vérifié

1 F Cfa

778159089

709068088","https://www.expat-dakar.com/annonce/app-f3-et-f4-a-louer-point-e-5991753","App f3 et f4 a louer point e","","4","","Point-e","Dakar","1 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c913a69807556c87606f8113c6313252/-eyJvciI6MH0%3D/horizon-files-prod/ed/picture/q448q9wp/6ebc528168f8d724ff508c89035f3261fd662571.jpg"
